id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area,material,function,thickness
715ba9fc-f6f7-442b-86be-87f460856a1d-0009997f,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,0.028484814,-33.21685,6.01345,-1.80975,-30.67685,7.8613,-1.8034,"[[-32.09925,7.8613],[-33.21685,7.8613],[-33.21685,6.01345],[-30.67685,6.01345],[-30.67685,6.1595],[-30.67685,7.1755],[-30.67685,7.82955],[-31.79445,7.82955],[-31.79445,7.29615],[-32.09925,7.29615]]",4.48579748,"Steel, Paint Finish, Dark Gray",floor,0.00635
715ba9fc-f6f7-442b-86be-87f460856a1d-00099f77,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.028484814,-33.21685,6.01345,5.73405,-30.67685,7.8613,5.7404,"[[-32.09925,7.8613],[-33.21685,7.8613],[-33.21685,6.01345],[-30.67685,6.01345],[-30.67685,6.1595],[-30.67685,7.1755],[-30.67685,7.82955],[-31.79445,7.82955],[-31.79445,7.29615],[-32.09925,7.29615]]",4.48579748,"Steel, Paint Finish, Dark Gray",floor,0.00635
715ba9fc-f6f7-442b-86be-87f460856a1d-00099f86,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.028484814,-33.21685,6.01345,9.79805,-30.67685,7.8613,9.8044,"[[-32.09925,7.8613],[-33.21685,7.8613],[-33.21685,6.01345],[-30.67685,6.01345],[-30.67685,6.1595],[-30.67685,7.1755],[-30.67685,7.82955],[-31.79445,7.82955],[-31.79445,7.29615],[-32.09925,7.29615]]",4.48579748,"Steel, Paint Finish, Dark Gray",floor,0.00635
715ba9fc-f6f7-442b-86be-87f460856a1d-00099f95,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.028484814,-33.21685,6.01345,13.86205,-30.67685,7.8613,13.8684,"[[-32.09925,7.8613],[-33.21685,7.8613],[-33.21685,6.01345],[-30.67685,6.01345],[-30.67685,6.1595],[-30.67685,7.1755],[-30.67685,7.82955],[-31.79445,7.82955],[-31.79445,7.29615],[-32.09925,7.29615]]",4.48579748,"Steel, Paint Finish, Dark Gray",floor,0.00635
715ba9fc-f6f7-442b-86be-87f460856a1d-00099fa4,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.028484814,-33.21685,6.01345,2.45745,-30.67685,7.8613,2.4638,"[[-32.09925,7.8613],[-33.21685,7.8613],[-33.21685,6.01345],[-30.67685,6.01345],[-30.67685,7.82955],[-31.79445,7.82955],[-31.79445,7.29615],[-32.09925,7.29615]]",4.48579748,"Steel, Paint Finish, Dark Gray",floor,0.00635
715ba9fc-f6f7-442b-86be-87f460856a1d-00099fb3,Stair Landing Steel Plate,,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.3386666667,0.0292918769,-33.21685,6.01345,18.26471667,-30.67685,7.82955,18.27106667,"[[-33.21685,7.82955],[-33.21685,6.01345],[-30.67685,6.01345],[-30.67685,6.1595],[-30.67685,7.1755],[-30.67685,7.82955]]",4.612894,"Steel, Paint Finish, Dark Gray",floor,0.00635
07d0ca4c-a584-42fc-98d1-57aee4729535-000a1378,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,0.0381,0.03452037451,12.73175,-6.11505,0.03175,15.27175,-3.01625,0.0381,"[[14.15415,-3.01625],[14.15415,-4.92125],[13.84935,-4.92125],[13.84935,-4.4831],[12.73175,-4.4831],[12.73175,-5.97535],[12.85875,-5.97535],[12.85875,-6.11505],[13.86205,-6.11505],[13.86205,-5.97535],[15.27175,-5.97535],[15.27175,-3.01625]]",5.43627945,"Steel, Paint Finish, Dark Gray",floor,0.00635
6b975e2a-0efd-4b6a-a111-fc5906d0b3ca-000ab901,Stair Landing Steel Plate,,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.3386666667,0.02167189214,12.73175,-0.92075,18.26471667,15.27175,0.56515,18.27106667,"[[15.27175,-0.66675],[15.27175,0.56515],[13.8938,0.56515],[12.8778,0.56515],[12.73175,0.56515],[12.73175,-0.92075],[13.84935,-0.92075],[13.84935,-0.66675]]",3.4128964,"Steel, Paint Finish, Dark Gray",floor,0.00635
7d4c59c2-0aac-446c-afeb-743c5ba1d955-000b3194,Finish Floor - Ceramic Tile (Wood),,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,9.165019623,-27.555825,2.787650004,-1.9558,-15.408275,10.12825,-1.8034,"[[-27.555825,2.787650004],[-15.408275,2.787650004],[-15.408275,6.604],[-16.5354,6.604],[-16.5354,10.12825],[-17.653,10.12825],[-17.653,6.2611],[-19.812,6.2611],[-19.812,8.80745],[-21.478875,8.80745],[-21.478875,7.74065],[-27.555825,7.74065],[-27.555825,5.826125]]",60.13792403,"Concrete, Precast",floor,0.1524
76d1b90c-43bc-4027-9d99-b8556ed101f9-000c2d0c,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,2.924175,1.381451259,-11.922125,2.822575,5.27685,-8.40105,6.353175,5.387975,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
ecf24baf-eeef-49d0-a65c-5bdba1823b57-000d3e9a,Finish Floor - Polished Concrete (Grey),,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-0.0508,4.52966307,-17.4498,5.718175,18.0594,-1.8542,10.874375,18.2118,"[[-8.4074,5.768975],[-1.8542,5.768975],[-1.8542,5.876925],[-1.8542,8.397875],[-1.8542,8.505825],[-8.29945,8.505825],[-8.4074,8.505825],[-8.4074,5.876925]]",29.72219862,"Concrete, Precast Smooth, Light Grey",floor,0.1524
c1d54505-61c2-449c-9999-8528a85092a8-000d74fd,Stair Landing Steel Plate,,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.04275167875,-14.85265,6.01345,-1.06045,-12.31265,10.06155769,-1.0541,"[[-12.31265,6.01345],[-12.31265,7.61365],[-13.43025,7.61365],[-13.43025,7.3914],[-13.73505,7.3914],[-13.73505,10.06155769],[-14.85265,10.06155769],[-14.85265,6.01345]]",6.732547835,"Steel, Paint Finish, Dark Gray",floor,0.00635
c1d54505-61c2-449c-9999-8528a85092a8-000d7507,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.02900100651,-14.85265,6.01345,2.45745,-12.31265,8.0391,2.4638,"[[-13.73505,8.0391],[-14.85265,8.0391],[-14.85265,6.01345],[-13.4747,6.01345],[-12.4587,6.01345],[-12.31265,6.01345],[-12.31265,7.6327],[-13.4366,7.6327],[-13.73505,7.6327]]",4.56708764,"Steel, Paint Finish, Dark Gray",floor,0.00635
c1d54505-61c2-449c-9999-8528a85092a8-000d777e,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.0313525502,-14.85265,6.01345,5.73405,-12.31265,8.0391,5.7404,"[[-13.73505,8.0391],[-14.85265,8.0391],[-14.85265,6.01345],[-13.4747,6.01345],[-12.4587,6.01345],[-12.31265,6.01345],[-12.31265,8.00735],[-13.43025,8.00735],[-13.43025,7.47395],[-13.73505,7.47395]]",4.93740948,"Steel, Paint Finish, Dark Gray",floor,0.00635
c1d54505-61c2-449c-9999-8528a85092a8-000d7790,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.03333538494,-14.85265,6.01345,9.79805,-12.31265,8.28675,9.8044,"[[-13.73505,8.0391],[-14.85265,8.0391],[-14.85265,6.01345],[-13.4747,6.01345],[-12.4587,6.01345],[-12.31265,6.01345],[-12.31265,8.28675],[-13.43025,8.28675],[-13.43025,7.47395],[-13.73505,7.47395]]",5.24966692,"Steel, Paint Finish, Dark Gray",floor,0.00635
c1d54505-61c2-449c-9999-8528a85092a8-000d77e3,Stair Landing Steel Plate,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.03197116186,-14.85265,6.01345,13.86205,-12.31265,8.28675,13.8684,"[[-13.73505,7.86765],[-14.85265,7.86765],[-14.85265,6.01345],[-13.4747,6.01345],[-12.4587,6.01345],[-12.31265,6.01345],[-12.31265,8.28675],[-13.43025,8.28675],[-13.43025,7.39775],[-13.73505,7.39775]]",5.03482864,"Steel, Paint Finish, Dark Gray",floor,0.00635
c1d54505-61c2-449c-9999-8528a85092a8-000d7832,Stair Landing Steel Plate,,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,0.3386666667,0.02939429605,-14.85265,6.01345,18.26471667,-12.31265,7.8359,18.27106667,"[[-14.85265,7.8359],[-14.85265,6.01345],[-13.4747,6.01345],[-12.4587,6.01345],[-12.31265,6.01345],[-12.31265,7.8359],[-13.4366,7.8359]]",4.629023,"Steel, Paint Finish, Dark Gray",floor,0.00635
1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddc4b,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,2.924175,1.381451259,12.722225,2.822575,12.61745,16.2433,6.353175,12.728575,"[[16.2433,2.822575],[16.2433,6.353175],[12.722225,6.353175],[12.722225,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddd3b,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,2.924175,1.381451259,12.722225,2.822575,8.55345,16.2433,6.353175,8.664575,"[[16.2433,2.822575],[16.2433,6.353175],[12.722225,6.353175],[12.722225,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
1e1216bb-7a57-4652-adb5-2002d71ed03d-000dddbe,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,2.924175,1.381451259,12.722225,2.822575,16.68145,16.2433,6.353175,16.792575,"[[16.2433,2.822575],[16.2433,6.353175],[12.722225,6.353175],[12.722225,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
d0e26dd0-8481-4417-9d59-3c3cf74d3465-000e361d,Finish Floor - Ceramic Tile (Wood),,aa350a87-58a2-40c5-a479-a69db973baca-000ca5ca,,,0,12.58036132,-30.3657,5.72135,1.524,-17.5768,12.7254,1.6764,"[[-17.5768,5.72135],[-17.5768,12.709525],[-17.5768,12.7254],[-30.3657,12.7254],[-30.3657,12.709525],[-30.3657,10.531475],[-30.3657,10.4521],[-27.5717,10.4521],[-27.5717,7.9375],[-28.47975,7.9375],[-29.71165,7.9375],[-30.3657,7.9375],[-30.3657,7.6835],[-30.3657,5.826125],[-30.3657,5.72135],[-27.708225,5.72135]]",82.54830265,"Concrete, Precast",floor,0.1524
d8afd5f1-693e-4206-ac75-4628cc97b717-00107df7,Roof - Porcelain Float Deck 2'x2',,9b742a74-29a2-4bfb-b21f-467adccc22dd-000eb741,,,0.5715,1.440384639,-6.022975,-9.196052261,16.5735,0.942975,-4.42210702,16.6243,"[[-6.022975,-5.006699273],[-6.022975,-7.840253442],[-4.710499453,-7.840253442],[-4.710499453,-9.196052261],[-0.3695005469,-9.196052261],[-0.3695005469,-7.840253442],[0.942975,-7.840253442],[0.942975,-5.006699536]]",28.35476644,Stone Tiles,floor,0.0508
b7959bd4-f253-45fd-8e32-aeb5622fdb6e-0011c499,Sidewalk,,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0.2794,3.669669484,-6.378702,-10.54035903,-1.0795,1.2983845,-8.810625,-0.7747,"[[0.9398,-9.175934525],[0.9398,-8.810625],[-6.0198,-8.810625],[-6.0198,-9.175934525],[-5.859653,-9.175934525],[-5.859653,-9.694983525],[-6.378702,-9.694983525],[-5.859653,-10.54035903],[0.7793355,-10.54035903],[1.2983845,-9.694983525],[0.7793355,-9.694983525],[0.7793355,-9.175934525]]",12.03959804,"Asphalt, Pavement, Light Grey",floor,0.3048
ae751dab-607e-4e87-89d8-c20f168b02a8-00129de1,Roof - Porcelain Float Deck 2'x2',,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.460886175,-30.229175,4.371975,18.2118,-25.6921,7.546975,18.2626,"[[-29.1973,5.565775],[-29.1973,4.371975],[-25.6921,4.371975],[-25.6921,5.7531],[-27.9781,5.7531],[-27.9781,7.546975],[-30.229175,7.546975],[-30.229175,5.565775]]",9.0725625,Stone Tiles,floor,0.0508
ae751dab-607e-4e87-89d8-c20f168b02a8-00129e65,Roof - Porcelain Float Deck 2'x2',,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,4.023738012,-19.7612,1.673614737,18.2118,5.9182,11.026775,18.2626,"[[-13.8176,4.371975],[-13.8176,4.016375],[-6.054725,4.016375],[-6.054725,1.673614737],[0.97155,1.674332812],[0.97155,2.5019],[5.9182,2.5019],[5.9182,3.7211],[0.71755,3.7211],[0.71755,4.1783],[0.97155,4.1783],[0.97155,5.7531],[-0.99695,5.7531],[-0.99695,5.235575],[-8.5598,5.235575],[-8.5598,9.039225],[-6.45795,9.039225],[-6.45795,8.658225],[-5.23875,8.658225],[-5.23875,9.039225],[-3.1242,9.039225],[-3.1242,8.658225],[-1.905,8.658225],[-1.905,10.258425],[-10.7696,10.258425],[-10.7696,5.235575],[-12.0015,5.235575],[-12.0015,5.565775],[-17.6022,5.565775],[-17.6022,11.026775],[-19.7612,11.026775],[-19.7612,4.371975]]",79.20719958,Stone Tiles,floor,0.0508
ae751dab-607e-4e87-89d8-c20f168b02a8-00129e7d,Roof - Porcelain Float Deck 2'x2',,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.6486959196,12.4206,0.8763,18.2118,19.98599879,3.715712531,18.2626,"[[15.5829,0.8763],[15.5829,1.012825],[15.5829,2.496512531],[19.98599879,2.496512531],[19.82548806,3.715712531],[13.6398,3.715712531],[13.6398,2.5019],[12.4206,2.5019],[12.4206,1.012825],[12.4206,0.8763]]",12.76960472,Stone Tiles,floor,0.0508
30b382b6-087b-407b-9fe7-257a49470bb8-0012ba28,Landscape - Lawn,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0.6096,6.563539421,-28.2448,-8.721725,-1.2954,-15.325725,-2.606675,-1.1938,"[[-15.325725,-8.721725],[-15.325725,-2.606675],[-28.2448,-2.606675],[-28.2448,-4.403725],[-27.822525,-4.403725],[-27.822525,-4.5974],[-27.14625,-4.5974],[-27.14625,-6.731],[-27.822525,-6.731],[-27.822525,-6.924675],[-28.2448,-6.924675],[-28.2448,-8.721725]]",64.60176596,Grass,floor,0.1016
82ec593f-3794-4c2a-abef-4ec683402803-0012db2c,Hardscape - Brick Walk,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,3.0007407,-30.25140915,-8.9154,-1.905017976,-27.708225,5.565775,-1.651,"[[-30.25140915,5.565775],[-30.25140915,-8.9154],[-28.38444807,-8.9154],[-28.38444807,-6.731],[-28.38444807,-4.5974],[-28.38444807,0.270507726],[-27.708225,2.635250004],[-27.708225,5.565775]]",29.53498024,"Brick, Common",floor,0.1016
82ec593f-3794-4c2a-abef-4ec683402803-0012dbe7,Landscape - Lawn,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0.254,1.887531677,-33.9852,-8.721725,-1.651,-30.46095,-2.606675,-1.5494,"[[-32.39135,-8.696325],[-32.39135,-7.477125],[-31.17215,-7.477125],[-31.17215,-8.696325]]",18.57806768,Grass,floor,0.1016
67c8725e-6767-456a-a743-b96a80deb581-001408e0,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,2.924175,1.381451259,-11.922125,2.822575,8.55345,-8.40105,6.353175,8.664575,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
67c8725e-6767-456a-a743-b96a80deb581-00140919,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,2.924175,1.381451259,-11.922125,2.822575,12.61745,-8.40105,6.353175,12.728575,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
67c8725e-6767-456a-a743-b96a80deb581-00140952,Cores - Mechanical Space,,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,2.924175,1.381451259,-11.922125,2.822575,16.68145,-8.40105,6.353175,16.792575,"[[-8.40105,2.822575],[-8.40105,6.353175],[-11.922125,6.353175],[-11.922125,2.822575]]",12.4315074,Metal Stud Layer,floor,0.111125
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152daf,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.0612220711,-25.6921,3.8354,18.2118,-19.7612,4.0386,18.2626,"[[-25.6921,4.0386],[-25.6921,3.8354],[-19.7612,3.8354],[-19.7612,4.0386]]",1.20515888,Paving - Brick Border,floor,0.0508
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152e94,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.1625596749,-25.6921,4.0386,18.2118,-19.7612,11.9126,18.2626,"[[-25.6921,11.9126],[-25.6921,4.0386],[-25.4889,4.0386],[-25.4889,11.9126]]",3.1999936,Paving - Brick Border,floor,0.0508
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152efb,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.0797066793,5.9182,2.5019,18.2118,13.6398,2.7051,18.2626,"[[5.9182,2.7051],[5.9182,2.5019],[13.6398,2.5019],[13.6398,2.7051]]",1.56902912,Paving - Brick Border,floor,0.0508
df30a047-9a3c-4e12-b62a-7993b5b5e4b5-00152f02,Roof - Brick Border,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,0.2023474663,5.9182,2.7051,18.2118,13.6398,12.506325,18.2626,"[[5.9182,12.506325],[5.9182,2.7051],[6.1214,2.7051],[6.1214,12.506325]]",3.98321784,Paving - Brick Border,floor,0.0508
2b118248-51bc-4953-8bfb-2c5cf0ba34c2-00154826,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,2.177475849,-33.448625,-0.161925,18.542,-6.067425,5.565775,18.6944,"[[-33.448625,5.565775],[-33.448625,0.4853378077],[-33.15158561,0.4853378077],[-32.15983053,2.661689237],[-30.59485771,4.982012095],[-30.241875,5.049302875],[-30.241875,5.565775]]",21.43184891,Planting Bed,floor,0.1016
98fc0674-037e-46de-b878-c5e65f1bd3b9-0015523d,Roof - Turf,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0508,10.23671445,6.1214,2.7051,18.2118,13.4366,12.506325,18.4658,"[[13.27689456,2.78328632],[10.36803054,6.233677368],[8.845454114,3.570362594]]",72.23728543,Grass - Turf,floor,0
10264b00-0db3-43a6-8a20-3768430fc7a5-00156100,Roof - Decking,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,-4.043831936E-14,2.291797349,13.6398,3.7211,18.2118,18.78047811,12.506325,18.2626,"[[13.6398,3.7211],[18.78047811,3.7211],[18.78047811,11.65335117],[18.66818198,12.506325],[13.6398,12.506325]]",45.11412105,Exterior Decking,floor,0.0508
10264b00-0db3-43a6-8a20-3768430fc7a5-001561da,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,0.3997456249,18.79317811,3.728412531,18.5928,19.81100649,11.45958661,18.6944,"[[18.79317811,11.45958661],[18.79317811,3.728412531],[19.81100649,3.728412531]]",3.934504182,Planting Bed,floor,0.1016
10264b00-0db3-43a6-8a20-3768430fc7a5-0015622c,Roof - Planting Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.4318,1.682355141,15.5956,-2.046451035,18.5928,20.47585648,2.483812531,18.6944,"[[16.98549867,-0.606425],[20.14555581,-2.046451035],[20.47585648,-1.321624545],[19.97486119,2.483812531],[15.5956,2.483812531],[15.5956,1.012825],[15.719425,1.012825],[15.719425,-0.606425]]",16.55861359,Planting Bed,floor,0.1016
ebcc0c44-2887-4da8-a07d-b59d337c134c-00156474,Roof - Turf,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0508,3.33435703,-25.4889,4.0386,18.2118,-19.9644,12.506325,18.3134,"[[-25.4889,4.0386],[-23.64105,5.769332327],[-23.00752947,6.3627],[-22.72665,6.62577719],[-22.72665,10.1703735],[-25.4889,12.506325],[-25.4889,11.9126],[-25.4889,11.2776]]",46.78846068,Grass - Turf,floor,0
ebcc0c44-2887-4da8-a07d-b59d337c134c-001564cf,Roof - Sculpture Bed,,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,,0.0508,0.09576190525,-26.1239,11.9126,18.1864,-19.3294,12.506325,18.3134,"[[-25.4889,12.506325],[-26.1239,12.506325],[-26.1239,11.9126],[-25.4889,11.9126]]",0.75403075,Sculpture Bed,floor,0.127
