id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,points,area
sp-1,Stair S1,,lv-3,,,,,-33.2232,6.0071,-5.1308,-30.6705,12.7254,21.22565206,"[[-33.2232,12.7254],[-33.2232,6.0071],[-30.6705,6.0071],[-30.6705,7.8105],[-30.6705,10.3251],[-30.6705,12.7254]]",
sp-2,Stair S3,,lv-4,,,,,12.7254,-5.9817,-5.1435,15.2781,0.5715,21.20924279,"[[15.2781,-5.9817],[15.2781,0.5715],[12.7254,0.5715],[12.7254,-5.9817]]",
sp-3,Stair S2,,lv-13,,,,,-14.859,6.0071,-5.1562,-12.3063,13.0302,21.22565206,"[[-14.859,13.0302],[-14.859,11.0410625],[-14.859,6.0071],[-14.74878017,6.0071],[-12.3063,6.0071],[-12.3063,11.049],[-12.3063,13.0302]]",
sp-4,Elevator E1,,lv-10,,,,,-30.3657,7.9375,-5.1562,-27.8257,10.1981,21.26254189,"[[-30.3657,10.1981],[-30.3657,7.9375],[-27.8257,7.9375],[-27.8257,10.1981]]",
sp-5,Elevator E2,,lv-13,,,,,-1.6002,6.0071,-5.1562,0.9398,8.2677,21.26254189,"[[0.9398,6.3125096],[0.9398,8.2677],[-1.6002,8.2677],[-1.6002,6.0071],[0.9398,6.0071]]",
sp-6,Café 101,,lv-3,,,,,-27.447875,2.895600004,-1.8034,-15.42415,10.880725,5.588,"[[-27.3685,5.565775],[-27.447875,5.565775],[-27.447875,2.895600004],[-15.42415,2.895600004],[-15.42415,5.7785],[-15.42415,10.880725],[-16.519525,10.880725],[-16.519525,10.1742875],[-16.519525,6.558052804],[-16.64335,6.558052804],[-16.64335,10.112375],[-17.54505,10.112375],[-17.54505,8.5740875],[-17.54505,6.15315],[-17.5768,6.15315],[-17.5768,5.72135],[-21.0312,5.72135],[-21.0312,5.565775],[-21.6408,5.565775],[-21.6408,5.72135],[-27.3685,5.72135]]",
sp-7,Café Kitchen 102,,lv-3,,,,,-30.197425,7.756525,-1.8034,-19.980275,12.709525,1.524,"[[-27.9781,12.709525],[-30.197425,12.709525],[-30.197425,10.56005],[-27.46375,10.56005],[-27.46375,7.8105],[-27.46375,7.7968221],[-27.46375,7.756525],[-27.44627973,7.756525],[-21.49475,7.756525],[-21.49475,8.823325],[-19.980275,8.823325],[-19.980275,10.87912973],[-19.980275,11.0410625],[-19.980275,12.709525],[-21.0312,12.709525],[-21.0312,12.3317],[-21.6408,12.3317],[-21.6408,12.709525],[-27.3685,12.709525],[-27.3685,12.3317],[-27.9781,12.3317]]",
sp-8,Outdoor Covered Dining 103,,lv-3,,,,,-27.57805,-2.413,-1.8034,-15.1638,2.635250004,5.1308,"[[-15.3162,0.441325],[-18.83750116,0.441325],[-19.66512858,-1.374857387],[-17.38698229,-2.413],[-15.39998138,-2.413],[-15.3162,-2.229146426]]",
sp-9,Pocket Park 104,,lv-3,,,,,-33.9852,-8.892534025,-1.8034,-15.1638,5.565775,5.1308,"[[-33.639125,0.4572],[-33.639125,-0.05123719234],[-33.9852,-0.05123719234],[-33.9852,-8.721725],[-30.3641125,-8.721725],[-30.3641125,-8.892534025],[-28.3416375,-8.892534025],[-28.3416375,-8.721725],[-15.42415,-8.721725],[-15.42415,-8.0518],[-15.1638,-8.0518],[-15.1638,-2.606675],[-15.48823834,-2.606675],[-15.74164957,-3.162771871],[-16.96197326,-2.606675],[-22.07569674,-2.606675],[-22.33390766,-3.173304505],[-23.57734462,-2.606675],[-27.4402804,-2.606675],[-27.7158196,-2.606675],[-28.3416375,-2.606675],[-28.3416375,-2.413],[-27.57805,-2.413],[-27.57805,-0.2254720399],[-28.92616574,-3.183837138],[-32.84964475,-1.395922653],[-32.01241797,0.441325],[-27.57805,0.441325],[-27.57805,1.082675],[-33.639125,1.082675],[-33.639125,1.0668],[-33.3248,1.0668],[-33.3248,0.4572]]",
sp-10,Commercial/Retail 105,,lv-13,,,,,-14.944725,-8.419459025,-1.0541,-6.321425,10.9045375,1.8542,"[[-6.321425,9.3773625],[-6.321425,10.9045375],[-9.6647,10.9045375],[-9.6647,8.5979],[-9.6647,6.1769625],[-11.922125,6.1769625],[-11.922125,5.622925],[-14.74878017,5.622925],[-14.74878017,5.470525],[-14.8583904,5.470525],[-14.944725,5.470525],[-14.944725,2.905125],[-14.944725,1.0668],[-14.6558,1.0668],[-14.6558,0.4572],[-14.944725,0.4572],[-14.944725,-3.5687],[-14.7066,-3.5687],[-14.7066,-4.1783],[-14.944725,-4.1783],[-14.944725,-7.972425],[-14.725015,-7.972425],[-14.725015,-8.419459025],[-14.4018,-8.419459025],[-12.13485,-8.419459025],[-12.13485,-7.962259025],[-9.35355,-7.962259025],[-9.35355,-8.419459025],[-7.0866,-8.419459025],[-6.477,-8.419459025],[-6.477,-8.0772],[-6.321425,-8.0772],[-6.321425,-4.1783],[-6.477,-4.1783],[-6.477,-3.5687],[-6.321425,-3.5687],[-6.321425,0.4572],[-6.477,0.4572],[-6.477,1.0668],[-6.321425,1.0668],[-6.321425,3.3766125],[-6.321425,5.5499],[-6.477,5.5499],[-6.477,6.1595],[-6.321425,6.1595],[-6.321425,7.0469125]]",
sp-11,Residential Lobby 106,,lv-13,,,,,-6.022975,-8.64235,-1.0541,0.942975,5.673725,9.652,"[[0.3005235283,-7.930341617],[0.3005235283,0.2992583825],[-3.635375,0.2992583825],[-3.635375,0.17145],[-4.244975,0.17145],[-4.244975,0.2992583825],[-5.490676472,0.2992583825],[-5.490676472,-7.930341617]]",
sp-12,Utility 107,,lv-13,,,,,-6.022975,5.857875,-1.0541,2.7178,10.9045375,1.8542,"[[-6.022975,10.9045375],[-6.022975,9.4313375],[-5.768975,9.4313375],[-5.768975,6.9929375],[-6.022975,6.9929375],[-6.022975,6.1595],[-5.8674,6.1595],[-5.8674,5.857875],[-3.8274625,5.857875],[-1.933575,5.857875],[-1.933575,8.601075],[1.1938,8.601075],[1.1938,8.3947],[1.1938,6.2372875],[2.7178,6.2372875],[2.7178,7.1501],[2.7178,10.9045375],[1.1515471,10.9045375],[0.9985375,10.9045375]]",
sp-13,Commercial/Retail 108,,lv-1,,,,,1.158875,-9.2725875,-1.0668,12.42695,12.709525,5.588,"[[7.5946,0.714375],[12.188825,0.714375],[12.188825,0.955675],[12.423775,0.955675],[12.423775,2.7686],[12.423775,5.5499],[12.2682,5.5499],[12.2682,6.1595],[12.423775,6.1595],[12.423775,8.0438625],[12.423775,10.442575],[12.27455,10.442575],[9.9234625,10.442575],[7.502525,10.442575],[7.502525,12.3317],[6.985,12.3317],[6.985,12.709525],[1.3716,12.709525],[1.3716,12.3571],[1.209675,12.3571],[1.209675,11.0601125],[2.873375,11.0601125],[2.873375,7.1501],[2.873375,6.1595],[2.873375,4.1275],[2.873375,4.0814625],[2.873375,4.048117228],[2.873375,3.5925125],[1.241425,3.5925125],[1.241425,1.0668],[1.397,1.0668],[1.397,0.714375],[6.985,0.714375],[6.985,1.0668],[7.5946,1.0668]]",
sp-14,Commercial/Retail 109,,lv-1,,,,,12.722225,-8.795457059,0,21.51104956,12.709525,5.588,"[[21.51104956,-7.530622474],[21.06970794,-4.1783],[20.6756,-4.1783],[20.6756,-3.5687],[20.98945257,-3.5687],[20.59319172,-0.5588],[19.28032239,-0.5588],[19.28032239,1.0668],[20.37917742,1.0668],[19.78896611,5.5499],[19.39485817,5.5499],[19.39485817,6.1595],[19.70871075,6.1595],[19.26033096,9.565282635],[19.08714968,10.880725],[16.462375,10.880725],[16.462375,12.709525],[15.1384,12.709525],[15.1384,10.4028875],[15.1384,7.98195],[12.827,7.98195],[12.722225,7.98195],[12.722225,6.1595],[12.8778,6.1595],[12.8778,5.5499],[12.722225,5.5499],[12.722225,2.822575],[15.662275,2.822575],[15.662275,0.8763],[15.662275,-8.113704728],[15.662275,-8.1153],[15.78510742,-8.162634257],[15.83153958,-8.515321522],[17.23862292,-8.330075487],[17.18785639,-7.944465401],[19.95795333,-7.57977522],[20.00871986,-7.965385305],[21.23008078,-7.804590089],[21.19941366,-7.571650119]]",
sp-15,Corridor 201,,lv-4,,,,,-11.998325,0.762,2.4638,14.50975,5.673725,5.588,"[[-5.8674,0.89535],[0.7874,0.89535],[0.7874,1.0668],[1.397,1.0668],[1.397,0.8382],[6.985,0.8382],[6.985,1.0668],[7.5946,1.0668],[7.5946,0.8382],[12.188825,0.8382],[12.188825,0.955675],[12.573,0.955675],[14.50975,0.955675],[14.50975,2.667],[12.573,2.667],[2.8114625,2.667],[0.942975,2.667],[0.942975,4.1275],[0.942975,5.673725],[-1.412875,5.673725],[-1.412875,2.667],[-6.1722,2.667],[-11.998325,2.667],[-11.998325,0.8382],[-6.477,0.8382],[-6.477,1.0668],[-5.8674,1.0668]]",
sp-16,Live/Work Unit 202,,lv-4,,,,,-14.944725,-8.41375,2.4638,-6.321425,0.682625,5.588,"[[-14.944725,0.4572],[-14.944725,-3.5687],[-14.7066,-3.5687],[-14.7066,-4.1783],[-14.944725,-4.1783],[-14.944725,-7.94385],[-14.70025,-7.94385],[-14.70025,-8.41375],[-14.4018,-8.41375],[-7.0866,-8.41375],[-6.477,-8.41375],[-6.477,-8.0772],[-6.321425,-8.0772],[-6.321425,-4.1783],[-6.477,-4.1783],[-6.477,-3.5687],[-6.321425,-3.5687],[-6.321425,0.4572],[-6.477,0.4572],[-6.477,0.682625],[-12.068175,0.682625],[-13.9017375,0.682625],[-14.6558,0.682625],[-14.6558,0.4572]]",
sp-17,Studio Unit 203,,lv-4,,,,,-11.922125,2.822575,2.4638,-6.321425,12.709525,5.588,"[[-6.321425,6.1595],[-6.321425,12.3317],[-6.477,12.3317],[-6.477,12.709525],[-11.922125,12.709525],[-11.922125,5.6626125],[-11.922125,2.822575],[-6.321425,2.822575],[-6.321425,5.5499],[-6.477,5.5499],[-6.477,6.1595]]",
sp-18,Two Story Studio Unit 204,,lv-4,,,,,-6.022975,2.822575,2.4638,0.942975,12.709525,9.652,"[[-6.022975,12.3317],[-6.022975,6.1595],[-5.8674,6.1595],[-5.8674,5.5499],[-6.022975,5.5499],[-6.022975,2.822575],[-1.901825,2.822575],[-1.901825,5.673725],[-1.933575,5.673725],[-1.933575,8.601075],[0.942975,8.601075],[0.942975,12.3317],[0.7874,12.3317],[0.7874,12.709525],[-5.8674,12.709525],[-5.8674,12.3317]]",
sp-19,Live/Work Unit 205,,lv-4,,,,,1.241425,2.822575,2.4638,12.423775,12.709525,5.588,"[[1.241425,12.3317],[1.241425,8.5613875],[1.273175,8.5613875],[1.273175,7.2278875],[2.873375,7.2278875],[2.873375,6.1595],[2.873375,4.1275],[2.873375,4.0497125],[2.873375,4.048117228],[2.873375,2.822575],[12.423775,2.822575],[12.423775,5.5499],[12.2682,5.5499],[12.2682,6.1595],[12.423775,6.1595],[12.423775,8.0438625],[12.423775,12.3317],[12.2682,12.3317],[12.2682,12.709525],[7.5946,12.709525],[7.5946,12.3317],[6.985,12.3317],[6.985,12.709525],[1.397,12.709525],[1.397,12.3317]]",
sp-20,Office Unit 301,,lv-2,,,,,-33.664525,-3.183837138,5.7404,-15.243175,12.709525,9.652,"[[-21.6408,12.709525],[-27.3685,12.709525],[-27.3685,12.3317],[-27.94,12.3317],[-27.94,10.531475],[-27.46375,10.531475],[-27.46375,7.604125],[-30.286325,7.604125],[-30.286325,5.622925],[-33.664525,5.622925],[-33.664525,1.0668],[-33.3756,1.0668],[-33.3756,0.2694378077],[-32.09074631,0.2694378077],[-32.84964475,-1.395922653],[-28.92616574,-3.183837138],[-27.09033889,0.8447828957],[-26.79853375,0.7118084017],[-26.7970821,0.7111468892],[-25.5590842,0.1469959468],[-26.25738666,-1.38539002],[-22.33390766,-3.173304505],[-20.4980808,0.8553155289],[-20.20627567,0.7223410349],[-20.20482401,0.7216795224],[-18.96682611,0.15752858],[-19.66512858,-1.374857387],[-15.74164957,-3.162771871],[-15.3162,-2.229146426],[-15.3162,-2.208218132],[-15.243175,-2.208218132],[-15.243175,0.4572],[-15.3162,0.4572],[-15.3162,1.0668],[-15.243175,1.0668],[-15.243175,2.7289125],[-15.243175,5.6626125],[-15.243175,5.7023],[-15.243175,12.709525],[-21.0312,12.709525],[-21.0312,12.3317],[-21.6408,12.3317]]",
sp-21,Corridor 302,,lv-2,,,,,-11.998325,0.762,5.7404,17.04879811,5.673725,9.652,"[[-5.8674,0.89535],[0.7874,0.89535],[0.7874,1.0668],[1.397,1.0668],[1.397,0.8382],[6.985,0.8382],[6.985,1.0668],[7.5946,1.0668],[7.5946,0.8382],[12.341225,0.8382],[12.341225,0.955675],[15.662275,0.955675],[15.662275,0.8382],[17.04879811,0.8382],[17.04879811,2.667],[12.573,2.667],[2.8114625,2.667],[0.942975,2.667],[0.942975,4.1275],[0.942975,5.673725],[-1.778,5.673725],[-1.778,2.667],[-6.1722,2.667],[-11.998325,2.667],[-11.998325,0.8382],[-6.477,0.8382],[-6.477,1.0668],[-5.8674,1.0668]]",
sp-22,Live/Work Unit 303,,lv-2,,,,,-14.944725,-8.419459025,5.7404,-6.321425,0.682625,9.652,"[[-6.321425,-3.5687],[-6.321425,0.4572],[-6.477,0.4572],[-6.477,0.682625],[-12.068175,0.682625],[-14.7066,0.682625],[-14.7066,0.4572],[-14.944725,0.4572],[-14.944725,-2.208218132],[-14.944725,-2.633075573],[-14.944725,-2.935983841],[-14.944725,-3.5687],[-14.7066,-3.5687],[-14.7066,-4.1783],[-14.944725,-4.1783],[-14.944725,-7.94385],[-14.70025,-7.94385],[-14.70025,-8.419459025],[-6.477,-8.419459025],[-6.477,-8.0772],[-6.321425,-8.0772],[-6.321425,-4.1783],[-6.477,-4.1783],[-6.477,-3.5687]]",
sp-23,Studio Unit 304,,lv-2,,,,,-11.922125,2.822575,5.7404,-6.321425,12.709525,9.652,"[[-6.321425,6.1595],[-6.321425,12.3317],[-6.477,12.3317],[-6.477,12.709525],[-11.922125,12.709525],[-11.922125,5.6626125],[-11.922125,2.822575],[-6.321425,2.822575],[-6.321425,5.5499],[-6.477,5.5499],[-6.477,6.1595]]",
sp-24,Live/Work Unit 306,,lv-2,,,,,1.241425,-8.99795,5.7404,12.42695,0.682625,9.652,"[[1.241425,0.4572],[1.241425,-3.5687],[1.397,-3.5687],[1.397,-4.1783],[1.241425,-4.1783],[1.241425,-8.0772],[1.397,-8.0772],[1.397,-8.534019],[6.985,-8.534019],[6.985,-8.0899],[7.5946,-8.0899],[7.5946,-8.534019],[12.2682,-8.534019],[12.2682,-8.0899],[12.42695,-8.0899],[12.42695,-6.365875],[12.341225,-6.365875],[12.341225,0.682625],[7.5946,0.682625],[7.5946,0.4572],[6.985,0.4572],[6.985,0.682625],[1.397,0.682625],[1.397,0.4572]]",
sp-25,Live/Work Unit 307,,lv-2,,,,,1.241425,2.822575,5.7404,12.423775,12.709525,9.652,"[[1.241425,12.3317],[1.241425,8.5613875],[1.273175,8.5613875],[1.273175,7.2278875],[2.873375,7.2278875],[2.873375,6.1595],[2.873375,4.1275],[2.873375,4.0497125],[2.873375,4.048117228],[2.873375,2.822575],[12.423775,2.822575],[12.423775,5.5499],[12.2682,5.5499],[12.2682,6.1595],[12.423775,6.1595],[12.423775,12.3317],[12.2682,12.3317],[12.2682,12.709525],[7.5946,12.709525],[7.5946,12.3317],[6.985,12.3317],[6.985,12.709525],[1.397,12.709525],[1.397,12.3317]]",
sp-26,Live/Work Unit 308,,lv-2,,,,,12.7254,-8.960554467,5.7404,21.51104956,0.682625,9.652,"[[21.51104956,-7.530622474],[21.06970794,-4.1783],[20.6756,-4.1783],[20.6756,-3.5687],[20.98945257,-3.5687],[20.45943278,0.4572],[20.06532485,0.4572],[20.06532485,0.682625],[19.33429739,0.682625],[17.12658561,0.682625],[15.662275,0.682625],[15.662275,-6.365875],[12.7254,-6.365875],[12.7254,-8.0899],[12.8778,-8.0899],[12.8778,-8.6995],[12.7254,-8.6995],[12.7254,-8.821671563],[12.8778,-8.821671563],[12.8778,-8.960554467],[21.23737505,-7.859995533],[21.19941366,-7.571650119]]",
sp-27,Live/Work Unit 309,,lv-2,,,,,12.722225,0.8382,5.7404,20.24541848,12.709525,9.652,"[[20.24541848,2.0828],[19.78896611,5.5499],[19.39485817,5.5499],[19.39485817,6.1595],[19.70871075,6.1595],[19.26033096,9.565282635],[18.8961252,12.3317],[18.50201726,12.3317],[18.50201726,12.709525],[12.8778,12.709525],[12.8778,12.3317],[12.722225,12.3317],[12.722225,6.1595],[12.827,6.1595],[12.827,5.5499],[12.722225,5.5499],[12.722225,2.822575],[17.20437311,2.822575],[17.20437311,0.8382],[19.28032239,0.8382],[19.28032239,2.0828]]",
